"지구별","주차장명","주차대수","이용시간","날짜"
"PLT-003","망원23주차장","6708","564670","2021/09"
"PLT-006","광나루3주차장","15388","795532","2021/09"
"PLT-008","여의도4주차장","4201","984647","2021/09"
"PLT-007","양화1주차장","5748","532099","2021/09"
"PLT-009","반포23주차장","53983","3714773","2021/09"
"PLT-007","양화2주차장","2849","220950","2021/09"
"PLT-007","양화345주차장","37689","3143520","2021/09"
"PLT-003","망원1주차장","13288","876916","2021/09"
"PLT-006","광나루12주차장","27579","1914498","2021/09"
"PLT-004","이촌1주차장","3219","187092","2021/09"
"PLT-005","뚝섬1주차장","6569","492556","2021/09"
"PLT-003","망원23주차장","9848","857614","2021/09"
"PLT-005","뚝섬2주차장","10199","1007300","2021/09"
"PLT-007","양화2주차장","970","77513","2021/09"
"PLT-010","잠원1-6주차장","102305","8505177","2021/09"
"PLT-008","여의도5주차장","8676","2056713","2021/09"
"PLT-004","이촌2주차장","13310","977254","2021/09"
"PLT-005","뚝섬4주차장","24145","2066467","2021/09"
"PLT-006","광나루3주차장","5548","284128","2021/09"
"PLT-007","양화1주차장","2216","176818","2021/09"
"PLT-009","반포23주차장","20047","1317955","2021/09"
"PLT-009","반포1주차장","34630","2218584","2021/09"
"PLT-002","난지123주차장","67270","4574110","2021/09"
"PLT-008","여의도3주차장","36180","7094600","2021/09"
"PLT-008","여의도2주차장","46778","5235215","2021/09"
"PLT-006","광나루3주차장","32422","1471758","2021/09"
"PLT-007","양화1주차장","10646","983700","2021/09"
"PLT-009","반포23주차장","106481","7512134","2021/09"
"PLT-009","반포1주차장","12786","813389","2021/09"
"PLT-009","반포1주차장","34630","2218584","2021/09"
"PLT-008","여의도2주차장","46778","5235215","2021/09"
"PLT-005","뚝섬1주차장","8665","665159","2021/09"
"PLT-011","잠실1234주차장","116119","7881728","2021/09"
"PLT-001","강서1주차장","10118","718579","2021/09"
"PLT-008","여의도1주차장","113000","10633130","2021/09"
"PLT-004","이촌34주차장","40193","3164071","2021/09"
"PLT-005","뚝섬1주차장","3553","266326","2021/09"
"PLT-009","반포1주차장","33736","2164981","2021/09"
"PLT-008","여의도2주차장","45458","5034783","2021/09"
"PLT-008","여의도1주차장","109971","10250187","2021/09"
"PLT-004","이촌34주차장","39215","3077947","2021/09"
"PLT-011","잠실1234주차장","49014","3196625","2021/09"
"PLT-001","강서1주차장","4093","286708","2021/09"
"PLT-003","망원1주차장","13615","904489","2021/09"
"PLT-009","반포23주차장","47940","3333582","2021/09"
"PLT-008","여의도2주차장","16876","1983451","2021/09"
"PLT-008","여의도1주차장","43648","3871216","2021/09"
"PLT-004","이촌34주차장","16008","1274472","2021/09"
"PLT-001","강서1주차장","9715","691435","2021/09"
"PLT-011","잠실1234주차장","109040","7519182","2021/09"
"PLT-005","뚝섬1주차장","8385","645580","2021/09"
"PLT-009","반포23주차장","18787","1228893","2021/09"
"PLT-008","여의도1주차장","113000","10633130","2021/09"
"PLT-004","이촌34주차장","40193","3164071","2021/09"
